Relaciones Existentes
[['PrescriptiveRecommendationProperty', 'PrescriptiveAnalysisRecommendationProperty', 'PropertyID']
 ['SQLStatements', 'SQLStatementsOverflow', 'SQLStatementID']
 ['SQLSignatures', 'BlockingSessionStatistics', 'SQLSignatureID']
 ['SQLSignatures', 'DeadlockProcesses', 'SQLSignatureID']
 ['SQLSignatures', 'QueryMonitorStatistics', 'SQLSignatureID']
 ['SQLSignatures', 'QuerySignatureAggregation', 'SQLSignatureID']
 ['SQLSignatures', 'SQLSignaturesOverflow', 'SQLSignatureID']
 ['NotificationRules', 'SCOMAlertEvent', 'RuleID']
 ['HostNames', 'ActiveWaitStatistics', 'HostNameID']
 ['HostNames', 'BlockingSessionStatistics', 'HostNameID']
 ['HostNames', 'DeadlockProcesses', 'HostNameID']
 ['HostNames', 'QueryMonitorStatistics', 'HostNameID']
 ['ApplicationNames', 'ActiveWaitStatistics', 'ApplicationNameID']
 ['ApplicationNames', 'BlockingSessionStatistics', 'ApplicationNameID']
 ['ApplicationNames', 'DeadlockProcesses', 'ApplicationNameID']
 ['ApplicationNames', 'QueryMonitorStatistics', 'ApplicationNameID']
 ['ApplicationNames', 'QuerySignatureAggregation', 'ApplicationNameID']
 ['AlertTemplateLookup', 'DefaultMetricThresholds', 'UserViewID']
 ['LoginNames', 'ActiveWaitStatistics', 'LoginNameID']
 ['LoginNames', 'BlockingSessionStatistics', 'LoginNameID']
 ['LoginNames', 'DeadlockProcesses', 'LoginNameID']
 ['LoginNames', 'QueryMonitorStatistics', 'LoginNameID']
 ['CustomDashboard', 'CustomDashboardWidgets', 'DashboardID']
 ['CustomDashboardWidgetTypes', 'CustomDashboardWidgets', 'WidgetTypeID']
 ['CustomDashboardMatchTypes', 'CustomDashboardWidgets', 'MatchId']
 ['SQLQueryPlans', 'QueryMonitorStatistics', 'PlanID']
 ['SQLQueryPlans', 'SQLQueryPlansOverflow', 'PlanID']
 ['CustomDashboardWidgets', 'WidgetSourceMapping', 'WidgetID']
 ['CustomDashboardWidgets', 'WidgetTagMapping', 'WidgetID']
 ['MetricInfo', 'CustomDashboardWidgets', 'MetricID']
 ['AnalysisConfiguration', 'AnalysisConfigBlockedDatabases', 'AnalysisConfigurationID']
 ['AnalysisConfiguration', 'AnalysisConfigBlockedRecommendation', 'AnalysisConfigurationID']
 ['AnalysisConfiguration', 'AnalysisConfigCategories', 'AnalysisConfigurationID']
 ['MetricMetaData', 'CustomCounterMap', 'Metric']
 ['MetricMetaData', 'SCOMAlertEvent', 'MetricID']]

Relaciones Posibles/Faltantes
[['AnalysisConfigBlockedRecommendation', 'PrescriptiveRecommendationProperty', 'RecommendationID']
 ['AnalysisConfigBlockedRecommendation', 'RecommedationClassification', 'RecommendationID']
 ['AnalysisConfigBlockedRecommendation', 'PrescriptiveAnalysisRecommendation', 'RecommendationID']
 ['AnalysisConfigBlockedRecommendation', 'AnalysisConfigCategories', 'AnalysisConfigurationID']
 ['AnalysisConfigBlockedRecommendation', 'AnalysisConfigBlockedDatabases', 'AnalysisConfigurationID']
 ['MetricMetaDataMessages', 'MetricMetaDataMessageMap', 'Metric']
 ['MetricMetaDataMessages', 'MetricMetaDataMessageMap', 'MessageID']
 ['MetricMetaDataMessages', 'CustomCounterDefinition', 'Metric']
 ['MetricMetaDataMessages', 'CustomCounterMap', 'Metric']
 ['MetricMetaDataMessages', 'PredictiveModels', 'Metric']
 ['MetricMetaDataMessages', 'PredictiveForecasts', 'Metric']
 ['MetricMetaDataMessages', 'AdvanceFilteringAlert', 'Metric']
 ['MetricMetaDataMessages', 'CustomCounterTags', 'Metric']
 ['MetricMetaDataMessages', 'AuditableActions', 'HeaderTemplate']
 ['MetricMetaDataMessages', 'DefaultMetricThresholds', 'Metric']
 ['MetricMetaDataMessages', 'MetricThresholds', 'Metric']
 ['MetricMetaDataMessages', 'Alerts', 'Metric']
 ['MetricMetaDataMessages', 'Tasks', 'EventID']
 ['MetricMetaDataMessages', 'Tasks', 'Metric']
 ['MetricMetaDataMessages', 'MetricInfo', 'Metric']
 ['MetricMetaDataMessages', 'MetricMetaData', 'Metric']
 ['MetricMetaDataMessageMap', 'CustomCounterDefinition', 'Metric']
 ['MetricMetaDataMessageMap', 'PrescriptiveAnalysisRecommendationProperty', 'Value']
 ['MetricMetaDataMessageMap', 'CustomCounterMap', 'Metric']
 ['MetricMetaDataMessageMap', 'UserSessionSettings', 'Value']
 ['MetricMetaDataMessageMap', 'PredictiveModels', 'Metric']
 ['MetricMetaDataMessageMap', 'PredictiveForecasts', 'Metric']
 ['MetricMetaDataMessageMap', 'AdvanceFilteringAlert', 'Metric']
 ['MetricMetaDataMessageMap', 'CustomCounterTags', 'Metric']
 ['MetricMetaDataMessageMap', 'ReportIntervals', 'Value']
 ['MetricMetaDataMessageMap', 'ReportPeriods', 'Value']
 ['MetricMetaDataMessageMap', 'DefaultMetricThresholds', 'Metric']
 ['MetricMetaDataMessageMap', 'MetricThresholds', 'Metric']
 ['MetricMetaDataMessageMap', 'Alerts', 'Value']
 ['MetricMetaDataMessageMap', 'Alerts', 'Metric']
 ['MetricMetaDataMessageMap', 'Tasks', 'Value']
 ['MetricMetaDataMessageMap', 'Tasks', 'Metric']
 ['MetricMetaDataMessageMap', 'MetricInfo', 'Metric']
 ['MetricMetaDataMessageMap', 'MetricMetaData', 'Metric']
 ['PrescriptiveRecommendationProperty', 'PrescriptiveAnalysisRecommendationProperty', 'ID']
 ['PrescriptiveRecommendationProperty', 'HealthIndexCofficients', 'ID']
 ['PrescriptiveRecommendationProperty', 'PrescriptiveAnalyzerCategory', 'ID']
 ['PrescriptiveRecommendationProperty', 'PrescriptiveAnalyzer', 'ID']
 ['PrescriptiveRecommendationProperty', 'AlertInstanceTemplate', 'ID']
 ['PrescriptiveRecommendationProperty', 'AdvanceFilteringAlert', 'ID']
 ['PrescriptiveRecommendationProperty', 'RecommedationClassification', 'RecommendationID']
 ['PrescriptiveRecommendationProperty', 'AzureApplication', 'ID']
 ['PrescriptiveRecommendationProperty', 'AzureSubscription', 'ID']
 ['PrescriptiveRecommendationProperty', 'AzureApplicationProfile', 'ID']
 ['PrescriptiveRecommendationProperty', 'PrescriptiveOptimiztionExecutionStatus', 'ID']
 ['PrescriptiveRecommendationProperty', 'AzureResource', 'ID']
 ['PrescriptiveRecommendationProperty', 'PrescriptiveAnalysisRecommendation', 'RecommendationID']
 ['PrescriptiveRecommendationProperty', 'PrescriptiveAnalysisRecommendation', 'ID']
 ['PrescriptiveRecommendationProperty', 'AzureProfile', 'ID']
 ['PrescriptiveRecommendationProperty', 'CounterMasterList', 'ID']
 ['PrescriptiveRecommendationProperty', 'CustomReports', 'ID']
 ['PrescriptiveRecommendationProperty', 'CustomReportsCounters', 'ID']
 ['PrescriptiveRecommendationProperty', 'AnalysisConfiguration', 'ID']
 ['Deadlocks', 'DeadlockProcesses', 'SQLServerID']
 ['Deadlocks', 'DeadlockProcesses', 'UTCCollectionDateTime']
 ['Deadlocks', 'CustomCounterMap', 'SQLServerID']
 ['Deadlocks', 'CustomCounterStatistics', 'SQLServerID']
 ['Deadlocks', 'CustomCounterStatistics', 'UTCCollectionDateTime']
 ['Deadlocks', 'QuerySignatureAggregation', 'SQLServerID']
 ['Deadlocks', 'PermissionServers', 'SQLServerID']
 ['Deadlocks', 'PredictiveModels', 'SQLServerID']
 ['Deadlocks', 'DiskDrives', 'SQLServerID']
 ['Deadlocks', 'DiskDrives', 'UTCCollectionDateTime']
 ['Deadlocks', 'PredictiveForecasts', 'SQLServerID']
 ['Deadlocks', 'DiskDriveStatisticsAggregation', 'SQLServerID']
 ['Deadlocks', 'AlertInstanceTemplate', 'SQLServerID']
 ['Deadlocks', 'MirroringStatistics', 'UTCCollectionDateTime']
 ['Deadlocks', 'PrescriptiveAnalysis', 'SQLServerID']
 ['Deadlocks', 'VMConfigData', 'SQLServerID']
 ['Deadlocks', 'VMConfigData', 'UTCCollectionDateTime']
 ['Deadlocks', 'ESXConfigData', 'SQLServerID']
 ['Deadlocks', 'ESXConfigData', 'UTCCollectionDateTime']
 ['Deadlocks', 'VMStatistics', 'SQLServerID']
 ['Deadlocks', 'VMStatistics', 'UTCCollectionDateTime']
 ['Deadlocks', 'AzureProfile', 'SQLServerID']
 ['Deadlocks', 'ESXStatistics', 'SQLServerID']
 ['Deadlocks', 'ESXStatistics', 'UTCCollectionDateTime']
 ['Deadlocks', 'BaselineTemplates', 'SQLServerID']
 ['Deadlocks', 'ServerStatistics', 'SQLServerID']
 ['Deadlocks', 'ServerStatistics', 'UTCCollectionDateTime']
 ['Deadlocks', 'OSStatistics', 'SQLServerID']
 ['Deadlocks', 'OSStatistics', 'UTCCollectionDateTime']
 ['Deadlocks', 'BaselineStatistics', 'SQLServerID']
 ['Deadlocks', 'SQLServerDatabaseNames', 'SQLServerID']
 ['Deadlocks', 'DashboardDefaults', 'SQLServerID']
 ['Deadlocks', 'DatabaseFileActivity', 'UTCCollectionDateTime']
 ['Deadlocks', 'TempdbFileData', 'UTCCollectionDateTime']
 ['Deadlocks', 'MonitoredServerSQLsafeInstance', 'SQLServerID']
 ['Deadlocks', 'WaitStatistics', 'SQLServerID']
 ['Deadlocks', 'WaitStatistics', 'UTCCollectionDateTime']
 ['Deadlocks', 'DatabaseStatistics', 'UTCCollectionDateTime']
 ['Deadlocks', 'stageDatabaseStatistics', 'UTCCollectionDateTime']
 ['Deadlocks', 'DatabaseSize', 'UTCCollectionDateTime']
 ['Deadlocks', 'TableGrowth', 'UTCCollectionDateTime']
 ['Deadlocks', 'AlwaysOnReplicas', 'SQLServerID']
 ['Deadlocks', 'TableReorganization', 'UTCCollectionDateTime']
 ['Deadlocks', 'AlwaysOnStatistics', 'SQLServerID']
 ['Deadlocks', 'AlwaysOnStatistics', 'UTCCollectionDateTime']
 ['Deadlocks', 'AlwaysOnRealTimeStatistics', 'SQLServerID']
 ['Deadlocks', 'AlwaysOnRealTimeStatistics', 'UTCCollectionDateTime']
 ['Deadlocks', 'DatabaseSizeDateTime', 'UTCCollectionDateTime']
 ['Deadlocks', 'LatestGroomingStatus', 'SQLServerID']
 ['Deadlocks', 'DiskDriveStatistics', 'SQLServerID']
 ['Deadlocks', 'DiskDriveStatistics', 'UTCCollectionDateTime']
 ['Deadlocks', 'ActiveWaitStatistics', 'SQLServerID']
 ['Deadlocks', 'ActiveWaitStatistics', 'UTCCollectionDateTime']
 ['Deadlocks', 'DatabaseFileStatistics', 'UTCCollectionDateTime']
 ['Deadlocks', 'MetricThresholds', 'SQLServerID']
 ['Deadlocks', 'QueryMonitorStatistics', 'SQLServerID']
 ['Deadlocks', 'QueryMonitorStatistics', 'UTCCollectionDateTime']
 ['Deadlocks', 'ServerActivity', 'SQLServerID']
 ['Deadlocks', 'ServerActivity', 'UTCCollectionDateTime']
 ['Deadlocks', 'Blocks', 'SQLServerID']
 ['Deadlocks', 'Blocks', 'XDLData']
 ['Deadlocks', 'Blocks', 'UTCCollectionDateTime']
 ['Deadlocks', 'BlockingSessionStatistics', 'SQLServerID']
 ['Deadlocks', 'BlockingSessionStatistics', 'UTCCollectionDateTime']
 ['CustomCounterDefinition', 'CustomCounterMap', 'Metric']
 ['CustomCounterDefinition', 'Permission', 'Enabled']
 ['CustomCounterDefinition', 'PredictiveModels', 'Metric']
 ['CustomCounterDefinition', 'BaselineMetaData', 'Scale']
 ['CustomCounterDefinition', 'PredictiveForecasts', 'Metric']
 ['CustomCounterDefinition', 'VirtualHostServers', 'ServerType']
 ['CustomCounterDefinition', 'AdvanceFilteringAlert', 'Metric']
 ['CustomCounterDefinition', 'CollectionServices', 'Enabled']
 ['CustomCounterDefinition', 'DefaultMetricThresholds', 'Metric']
 ['CustomCounterDefinition', 'DefaultMetricThresholds', 'Enabled']
 ['CustomCounterDefinition', 'MetricThresholds', 'Metric']
 ['CustomCounterDefinition', 'MetricThresholds', 'Enabled']
 ['CustomCounterDefinition', 'Alerts', 'Metric']
 ['CustomCounterDefinition', 'Tasks', 'Metric']
 ['CustomCounterDefinition', 'MetricInfo', 'Metric']
 ['CustomCounterDefinition', 'MetricInfo', 'UTCLastChangeDateTime']
 ['CustomCounterDefinition', 'MetricMetaData', 'Metric']
 ['CustomCounterDefinition', 'MetricMetaData', 'UTCLastChangeDateTime']
 ['PrescriptiveAnalysisRecommendationProperty', 'HealthIndexCofficients', 'ID']
 ['PrescriptiveAnalysisRecommendationProperty', 'UserSessionSettings', 'Value']
 ['PrescriptiveAnalysisRecommendationProperty', 'PrescriptiveAnalyzerCategory', 'ID']
 ['PrescriptiveAnalysisRecommendationProperty', 'PrescriptiveAnalyzer', 'ID']
 ['PrescriptiveAnalysisRecommendationProperty', 'AlertInstanceTemplate', 'ID']
 ['PrescriptiveAnalysisRecommendationProperty', 'AdvanceFilteringAlert', 'ID']
 ['PrescriptiveAnalysisRecommendationProperty', 'AzureApplication', 'ID']
 ['PrescriptiveAnalysisRecommendationProperty', 'AzureSubscription', 'ID']
 ['PrescriptiveAnalysisRecommendationProperty', 'AzureApplicationProfile', 'ID']
 ['PrescriptiveAnalysisRecommendationProperty', 'PrescriptiveOptimiztionExecutionStatus', 'ID']
 ['PrescriptiveAnalysisRecommendationProperty', 'AzureResource', 'ID']
 ['PrescriptiveAnalysisRecommendationProperty', 'PrescriptiveAnalysisRecommendation', 'ID']
 ['PrescriptiveAnalysisRecommendationProperty', 'AzureProfile', 'ID']
 ['PrescriptiveAnalysisRecommendationProperty', 'ReportIntervals', 'Value']
 ['PrescriptiveAnalysisRecommendationProperty', 'ReportPeriods', 'Value']
 ['PrescriptiveAnalysisRecommendationProperty', 'CounterMasterList', 'ID']
 ['PrescriptiveAnalysisRecommendationProperty', 'CustomReports', 'ID']
 ['PrescriptiveAnalysisRecommendationProperty', 'CustomReportsCounters', 'ID']
 ['PrescriptiveAnalysisRecommendationProperty', 'Alerts', 'Value']
 ['PrescriptiveAnalysisRecommendationProperty', 'Tasks', 'Value']
 ['PrescriptiveAnalysisRecommendationProperty', 'AnalysisConfiguration', 'ID']
 ['DeadlockProcesses', 'CustomCounterMap', 'SQLServerID']
 ['DeadlockProcesses', 'CustomCounterStatistics', 'SQLServerID']
 ['DeadlockProcesses', 'CustomCounterStatistics', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'QuerySignatureAggregation', 'SQLServerID']
 ['DeadlockProcesses', 'QuerySignatureAggregation', 'SQLSignatureID']
 ['DeadlockProcesses', 'QuerySignatureAggregation', 'DatabaseID']
 ['DeadlockProcesses', 'QuerySignatureAggregation', 'ApplicationNameID']
 ['DeadlockProcesses', 'PermissionServers', 'SQLServerID']
 ['DeadlockProcesses', 'DatabaseSizeDateTimeAggregation', 'DatabaseID']
 ['DeadlockProcesses', 'PredictiveModels', 'SQLServerID']
 ['DeadlockProcesses', 'DiskDrives', 'SQLServerID']
 ['DeadlockProcesses', 'DiskDrives', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'DatabaseSizeAggregation', 'DatabaseID']
 ['DeadlockProcesses', 'PredictiveForecasts', 'SQLServerID']
 ['DeadlockProcesses', 'DiskDriveStatisticsAggregation', 'SQLServerID']
 ['DeadlockProcesses', 'DatabaseStatisticsAggregation', 'DatabaseID']
 ['DeadlockProcesses', 'MirroringParticipants', 'DatabaseID']
 ['DeadlockProcesses', 'AlertInstanceTemplate', 'SQLServerID']
 ['DeadlockProcesses', 'MirroringStatistics', 'DatabaseID']
 ['DeadlockProcesses', 'MirroringStatistics', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'PrescriptiveAnalysis', 'SQLServerID']
 ['DeadlockProcesses', 'VMConfigData', 'SQLServerID']
 ['DeadlockProcesses', 'VMConfigData', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'ESXConfigData', 'SQLServerID']
 ['DeadlockProcesses', 'ESXConfigData', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'VMStatistics', 'SQLServerID']
 ['DeadlockProcesses', 'VMStatistics', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'MonitoredSQLServers', 'SQLServerID']
 ['DeadlockProcesses', 'AzureProfile', 'SQLServerID']
 ['DeadlockProcesses', 'ESXStatistics', 'SQLServerID']
 ['DeadlockProcesses', 'ESXStatistics', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'BaselineTemplates', 'SQLServerID']
 ['DeadlockProcesses', 'ServerStatistics', 'SQLServerID']
 ['DeadlockProcesses', 'ServerStatistics', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'OSStatistics', 'SQLServerID']
 ['DeadlockProcesses', 'OSStatistics', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'BaselineStatistics', 'SQLServerID']
 ['DeadlockProcesses', 'SQLServerDatabaseNames', 'SQLServerID']
 ['DeadlockProcesses', 'DashboardDefaults', 'SQLServerID']
 ['DeadlockProcesses', 'DatabaseFiles', 'DatabaseID']
 ['DeadlockProcesses', 'DatabaseFileActivity', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'TempdbFileData', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'MonitoredServerSQLsafeInstance', 'SQLServerID']
 ['DeadlockProcesses', 'WaitStatistics', 'SQLServerID']
 ['DeadlockProcesses', 'WaitStatistics', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'DatabaseStatistics', 'DatabaseID']
 ['DeadlockProcesses', 'DatabaseStatistics', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'stageDatabaseStatistics', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'DatabaseSize', 'DatabaseID']
 ['DeadlockProcesses', 'DatabaseSize', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'SQLServerTableNames', 'DatabaseID']
 ['DeadlockProcesses', 'TableGrowth', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'AlwaysOnReplicas', 'SQLServerID']
 ['DeadlockProcesses', 'SQLStatementsOverflow', 'SQLStatementID']
 ['DeadlockProcesses', 'TableReorganization', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'AlwaysOnDatabases', 'DatabaseID']
 ['DeadlockProcesses', 'AlwaysOnStatistics', 'SQLServerID']
 ['DeadlockProcesses', 'AlwaysOnStatistics', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'SQLSignaturesOverflow', 'SQLSignatureID']
 ['DeadlockProcesses', 'AlwaysOnRealTimeStatistics', 'SQLServerID']
 ['DeadlockProcesses', 'AlwaysOnRealTimeStatistics', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'DatabaseSizeDateTime', 'DatabaseID']
 ['DeadlockProcesses', 'DatabaseSizeDateTime', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'LatestGroomingStatus', 'SQLServerID']
 ['DeadlockProcesses', 'DiskDriveStatistics', 'SQLServerID']
 ['DeadlockProcesses', 'DiskDriveStatistics', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'ActiveWaitStatistics', 'LoginNameID']
 ['DeadlockProcesses', 'ActiveWaitStatistics', 'HostNameID']
 ['DeadlockProcesses', 'ActiveWaitStatistics', 'SQLSignatureID']
 ['DeadlockProcesses', 'ActiveWaitStatistics', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'ActiveWaitStatistics', 'SessionID']
 ['DeadlockProcesses', 'ActiveWaitStatistics', 'SQLServerID']
 ['DeadlockProcesses', 'ActiveWaitStatistics', 'DatabaseID']
 ['DeadlockProcesses', 'ActiveWaitStatistics', 'ApplicationNameID']
 ['DeadlockProcesses', 'ActiveWaitStatistics', 'SQLStatementID']
 ['DeadlockProcesses', 'DatabaseFileStatistics', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'MetricThresholds', 'SQLServerID']
 ['DeadlockProcesses', 'SQLQueryPlans', 'SQLStatementID']
 ['DeadlockProcesses', 'Alerts', 'UTCOccurrenceDateTime']
 ['DeadlockProcesses', 'QueryMonitorStatistics', 'LoginNameID']
 ['DeadlockProcesses', 'QueryMonitorStatistics', 'HostNameID']
 ['DeadlockProcesses', 'QueryMonitorStatistics', 'SQLSignatureID']
 ['DeadlockProcesses', 'QueryMonitorStatistics', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'QueryMonitorStatistics', 'SessionID']
 ['DeadlockProcesses', 'QueryMonitorStatistics', 'SQLServerID']
 ['DeadlockProcesses', 'QueryMonitorStatistics', 'DatabaseID']
 ['DeadlockProcesses', 'QueryMonitorStatistics', 'ApplicationNameID']
 ['DeadlockProcesses', 'QueryMonitorStatistics', 'SQLStatementID']
 ['DeadlockProcesses', 'ServerActivity', 'SQLServerID']
 ['DeadlockProcesses', 'ServerActivity', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'AllSQLStatements', 'SQLStatementID']
 ['DeadlockProcesses', 'AllSQLSignatures', 'SQLSignatureID']
 ['DeadlockProcesses', 'Blocks', 'SQLServerID']
 ['DeadlockProcesses', 'Blocks', 'UTCCollectionDateTime']
 ['DeadlockProcesses', 'BlockingSessionStatistics', 'LoginNameID']
 ['DeadlockProcesses', 'BlockingSessionStatistics', 'HostNameID']
 ['DeadlockProcesses', 'BlockingSessionStatistics', 'SQLSignatureID']
 ['DeadlockProcesses', 'BlockingSessionStatistics', 'UTCCollectionDateTime']
