Relaciones Existentes
[]

Relaciones Posibles/Faltantes
[['vw_CoreUsers', 'UsersProductWidgetConfig', 'UserId']
 ['vw_DatabasesByUser', 'vw_InstancesByUser', 'UTCFirstSeen']
 ['vw_DatabasesByUser', 'vw_InstancesByUser', 'UTCLastSeen']
 ['vw_DatabasesByUser', 'vw_InstancesByUser', 'AccountId']
 ['vw_DatabasesByUser', 'vw_InstancesByUser', 'Owner']
 ['vw_DatabasesByUser', 'vw_AlertsByUser', 'AccountId']
 ['vw_DatabasesByUser', 'vw_RegisteredProductsByUser', 'AccountId']
 ['vw_DatabasesByUser', 'Instances', 'UTCLastSeen']
 ['vw_DatabasesByUser', 'Instances', 'UTCFirstSeen']
 ['vw_DatabasesByUser', 'Instances', 'Owner']
 ['vw_DatabasesByUser', 'Databases', 'UTCLastSeen']
 ['vw_DatabasesByUser', 'Databases', 'UTCFirstSeen']
 ['vw_DatabasesByUser', 'Databases', 'Owner']
 ['vw_InstancesByUser', 'vw_AlertsByUser', 'AccountId']
 ['vw_InstancesByUser', 'vw_RegisteredProductsByUser', 'Status']
 ['vw_InstancesByUser', 'vw_RegisteredProductsByUser', 'InstanceName']
 ['vw_InstancesByUser', 'vw_RegisteredProductsByUser', 'Version']
 ['vw_InstancesByUser', 'vw_RegisteredProductsByUser', 'Location']
 ['vw_InstancesByUser', 'vw_RegisteredProductsByUser', 'AccountId']
 ['vw_InstancesByUser', 'Instances', 'Edition']
 ['vw_InstancesByUser', 'Instances', 'Version']
 ['vw_InstancesByUser', 'Instances', 'Location']
 ['vw_InstancesByUser', 'Instances', 'Owner']
 ['vw_InstancesByUser', 'Instances', 'Comments']
 ['vw_InstancesByUser', 'Instances', 'UTCLastSeen']
 ['vw_InstancesByUser', 'Instances', 'UTCFirstSeen']
 ['vw_InstancesByUser', 'Licenses', 'Comments']
 ['vw_InstancesByUser', 'Licenses', 'Status']
 ['vw_InstancesByUser', 'Database-RegisteredProduct', 'Status']
 ['vw_InstancesByUser', 'Databases', 'UTCLastSeen']
